Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Road Width,Road Type,Build Area,Posted,Amenities
"Grandy Gate Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,22500000,6,6,3.0,1,North East,2070.0,66,3.1 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,N/A Aana,1 month ago,['Parking']
"Shutters For Rent : Office Space For Rent In Koteshwor, Kathmandu","338/6, Koteshwor, Kathmandu",Kathmandu,24000,0,3,2.0,1,West,2052.0,719,13 Aana,0 Meter / Paved,0 Meter , Paved,6 Aana,7 months ago,"['Garage', 'Balcony', 'Water Well', 'Wifi', 'CCTV', 'Water Supply', 'TV Cable']"
"SAMAKHUSI HOME : House For Sale In Samakhusi, Kathmandu","Samakhusi, Samakhusi, Kathmandu",Kathmandu,44000000,5,6,3.0,1,East,2076.0,390,4 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,7 months ago,"['Water Tank', 'Water Supply', 'Solar Water', 'Drainage', 'Wifi', 'TV Cable']"
"Newly Constructed : House For Sale In Imadol, Lalitpur","Sital height, Imadol, Lalitpur",Lalitpur,22000000,7,4,3.5,2,South,2076.0,981,0-4-2-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,2700 Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']"
"House For Sale In Pepsicola, Kathmandu","Na, Pepsicola, Kathmandu",Kathmandu,58500000,6,6,3.0,2,East,2076.0,318,6.5 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage']"
"House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,18500000,4,3,2.5,1,East,2076.0,596,0-3-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Sq. Feet,1 month ago,"['Lawn', 'Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Water Tank', 'Store Room']"
"Newly Built House : House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,21000000,4,3,2.5,1,East,2076.0,466,0-3-2-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,112 Sq. Meter,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']"
"Baluwatar New Home : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,130000000,5,6,3.0,3,East,2074.0,566,10 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Frontyard', 'Fencing', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank']"
"Budhanilkantha Underconstruction : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,105000000,8,8,4.0,4,East,2076.0,96,21 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage']"
"Basundhara Bungalow For Sale : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,85000000,7,8,3.0,4,East,2067.0,672,14 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,4 months ago,"['Garage', 'Air Condition', 'Balcony', 'Frontyard', 'Garden', 'Modular Kitchen', 'Washing Machine', 'Drainage', 'Wifi', 'Solar Water', 'Water Supply', 'Water Tank', 'Water Well', 'Parking', 'Store Room']"
"Flat System House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,100000000,10,8,3.5,5,North,2017.0,110,0-12-3-2 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-9-3-2 Aana,4 days ago,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking']"
"Residential House Sale : House For Sale In Sukedhara, Kathmandu","Nearby Nilo Pool, Sukedhara, Kathmandu",Kathmandu,32500000,6,4,2.5,1,South East,2065.0,2.6K,0-4-0-0 Aana,12 Feet / Concrete,12 Feet , Concrete,2394 Aana,1 month ago,"['Balcony', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']"
